Bird ID,Video Name,Frame Name,Timestamp (s),Masked Image
B02,B02_20180906_004.MP4,B02_20180906_004_frame1440.png,24.0,B02_20180906_004_frame1440_mask.png
B02,B02_20180906_004.MP4,B02_20180906_004_frame1920.png,32.0,B02_20180906_004_frame1920_mask.png
B02,B02_20180906_008.MP4,B02_20180906_008_frame0.png,0.0,B02_20180906_008_frame0_mask.png
B02,B02_20180906_008.MP4,B02_20180906_008_frame240.png,4.0,B02_20180906_008_frame240_mask.png
B02,B02_20180906_011.MP4,B02_20180906_011_frame1200.png,20.0,B02_20180906_011_frame1200_mask.png
B02,B02_20180906_011.MP4,B02_20180906_011_frame1680.png,28.0,B02_20180906_011_frame1680_mask.png
B02,B02_20180906_019.MP4,B02_20180906_019_frame0.png,0.0,B02_20180906_019_frame0_mask.png
B02,B02_20180906_019.MP4,B02_20180906_019_frame240.png,4.0,B02_20180906_019_frame240_mask.png
B02,B02_20180906_020.MP4,B02_20180906_020_frame2160.png,36.0,B02_20180906_020_frame2160_mask.png
B02,B02_20180906_020.MP4,B02_20180906_020_frame2640.png,44.0,B02_20180906_020_frame2640_mask.png
B02,B02_20180906_021.MP4,B02_20180906_021_frame720.png,12.0,B02_20180906_021_frame720_mask.png
B02,B02_20180906_021.MP4,B02_20180906_021_frame960.png,16.0,B02_20180906_021_frame960_mask.png
B02,B02_20180906_025.MP4,B02_20180906_025_frame240.png,4.0,B02_20180906_025_frame240_mask.png
B02,B02_20180906_031.MP4,B02_20180906_031_frame480.png,8.0,B02_20180906_031_frame480_mask.png
B02,B02_20180906_033.MP4,B02_20180906_033_frame480.png,8.0,B02_20180906_033_frame480_mask.png
B02,B02_20180906_033.MP4,B02_20180906_033_frame960.png,16.0,B02_20180906_033_frame960_mask.png
B02,B02_20180906_033.MP4,B02_20180906_033_frame1200.png,20.0,B02_20180906_033_frame1200_mask.png
B02,B02_20180906_033.MP4,B02_20180906_033_frame1680.png,28.0,B02_20180906_033_frame1680_mask.png
B02,B02_20180906_034.MP4,B02_20180906_034_frame0.png,0.0,B02_20180906_034_frame0_mask.png
B02,B02_20180906_034.MP4,B02_20180906_034_frame960.png,16.0,B02_20180906_034_frame960_mask.png
B02,B02_20180906_035.MP4,B02_20180906_035_frame480.png,8.0,B02_20180906_035_frame480_mask.png
B02,B02_20180906_038.MP4,B02_20180906_038_frame0.png,0.0,B02_20180906_038_frame0_mask.png
B02,B02_20180906_051.MP4,B02_20180906_051_frame720.png,12.0,B02_20180906_051_frame720_mask.png
B02,B02_20180906_053.MP4,B02_20180906_053_frame960.png,16.0,B02_20180906_053_frame960_mask.png
B02,B02_20180906_059.MP4,B02_20180906_059_frame1200.png,20.0,B02_20180906_059_frame1200_mask.png
B02,B02_20180906_073.MP4,B02_20180906_073_frame1920.png,32.0,B02_20180906_073_frame1920_mask.png
B02,B02_20180906_074.MP4,B02_20180906_074_frame240.png,4.0,B02_20180906_074_frame240_mask.png
B02,B02_20180906_074.MP4,B02_20180906_074_frame720.png,12.0,B02_20180906_074_frame720_mask.png
B02,B02_20180906_074.MP4,B02_20180906_074_frame960.png,16.0,B02_20180906_074_frame960_mask.png
B02,B02_20180906_074.MP4,B02_20180906_074_frame1200.png,20.0,B02_20180906_074_frame1200_mask.png
B02,B02_20180906_074.MP4,B02_20180906_074_frame1920.png,32.0,B02_20180906_074_frame1920_mask.png
B02,B02_20180906_074.MP4,B02_20180906_074_frame2400.png,40.0,B02_20180906_074_frame2400_mask.png
B02,B02_20180906_075.MP4,B02_20180906_075_frame960.png,16.0,B02_20180906_075_frame960_mask.png
B02,B02_20180906_075.MP4,B02_20180906_075_frame1680.png,28.0,B02_20180906_075_frame1680_mask.png
B02,B02_20180906_075.MP4,B02_20180906_075_frame1920.png,32.0,B02_20180906_075_frame1920_mask.png
B02,B02_20180906_075.MP4,B02_20180906_075_frame3360.png,56.0,B02_20180906_075_frame3360_mask.png
B02,B02_20180906_075.MP4,B02_20180906_075_frame3600.png,60.0,B02_20180906_075_frame3600_mask.png
