Bird ID,Video Name,Frame Name,Timestamp (s)
B02,B02_20180906_001.MP4,B02_20180906_001_frame0.png,0.0
B02,B02_20180906_002.MP4,B02_20180906_002_frame0.png,0.0
B02,B02_20180906_002.MP4,B02_20180906_002_frame1680.png,28.0
B02,B02_20180906_003.MP4,B02_20180906_003_frame0.png,0.0
B02,B02_20180906_004.MP4,B02_20180906_004_frame240.png,4.0
B02,B02_20180906_004.MP4,B02_20180906_004_frame480.png,8.0
B02,B02_20180906_004.MP4,B02_20180906_004_frame720.png,12.0
B02,B02_20180906_004.MP4,B02_20180906_004_frame1440.png,24.0
B02,B02_20180906_004.MP4,B02_20180906_004_frame1920.png,32.0
B02,B02_20180906_006.MP4,B02_20180906_006_frame0.png,0.0
B02,B02_20180906_007.MP4,B02_20180906_007_frame1200.png,20.0
B02,B02_20180906_008.MP4,B02_20180906_008_frame0.png,0.0
B02,B02_20180906_008.MP4,B02_20180906_008_frame240.png,4.0
B02,B02_20180906_008.MP4,B02_20180906_008_frame480.png,8.0
B02,B02_20180906_011.MP4,B02_20180906_011_frame1200.png,20.0
B02,B02_20180906_011.MP4,B02_20180906_011_frame1680.png,28.0
B02,B02_20180906_019.MP4,B02_20180906_019_frame0.png,0.0
B02,B02_20180906_019.MP4,B02_20180906_019_frame240.png,4.0
B02,B02_20180906_020.MP4,B02_20180906_020_frame1680.png,28.0
B02,B02_20180906_020.MP4,B02_20180906_020_frame2160.png,36.0
B02,B02_20180906_020.MP4,B02_20180906_020_frame2400.png,40.0
B02,B02_20180906_020.MP4,B02_20180906_020_frame2640.png,44.0
B02,B02_20180906_021.MP4,B02_20180906_021_frame0.png,0.0
B02,B02_20180906_021.MP4,B02_20180906_021_frame720.png,12.0
B02,B02_20180906_021.MP4,B02_20180906_021_frame960.png,16.0
B02,B02_20180906_025.MP4,B02_20180906_025_frame240.png,4.0
B02,B02_20180906_027.MP4,B02_20180906_027_frame0.png,0.0
B02,B02_20180906_028.MP4,B02_20180906_028_frame480.png,8.0
B02,B02_20180906_031.MP4,B02_20180906_031_frame480.png,8.0
B02,B02_20180906_032.MP4,B02_20180906_032_frame720.png,12.0
B02,B02_20180906_033.MP4,B02_20180906_033_frame0.png,0.0
B02,B02_20180906_033.MP4,B02_20180906_033_frame480.png,8.0
B02,B02_20180906_033.MP4,B02_20180906_033_frame960.png,16.0
B02,B02_20180906_033.MP4,B02_20180906_033_frame1200.png,20.0
B02,B02_20180906_033.MP4,B02_20180906_033_frame1680.png,28.0
B02,B02_20180906_034.MP4,B02_20180906_034_frame0.png,0.0
B02,B02_20180906_034.MP4,B02_20180906_034_frame480.png,8.0
B02,B02_20180906_034.MP4,B02_20180906_034_frame960.png,16.0
B02,B02_20180906_035.MP4,B02_20180906_035_frame240.png,4.0
B02,B02_20180906_035.MP4,B02_20180906_035_frame480.png,8.0
B02,B02_20180906_035.MP4,B02_20180906_035_frame720.png,12.0
B02,B02_20180906_038.MP4,B02_20180906_038_frame0.png,0.0
